STORE_NBR,YEARMONTH,Ventas,Unidades,Clientes,Transacciones,Frecuencia,ChipsPorTransaccion,PrecioPromedio,Fecha
1,201807,188.9,58,47,49,1.0425531914893618,1.183673469387755,3.256896551724138,2018-07-01
1,201808,168.4,52,41,41,1.0,1.2682926829268293,3.2384615384615385,2018-08-01
1,201809,268.1,71,57,59,1.0350877192982457,1.2033898305084745,3.7760563380281695,2018-09-01
1,201810,175.4,51,39,40,1.0256410256410255,1.275,3.43921568627451,2018-10-01
1,201811,184.8,55,44,45,1.0227272727272727,1.2222222222222223,3.3600000000000003,2018-11-01
1,201812,160.6,48,37,40,1.0810810810810811,1.2,3.345833333333333,2018-12-01
1,201901,149.7,41,35,35,1.0,1.1714285714285715,3.6512195121951216,2019-01-01
1,201902,194.7,58,49,51,1.0408163265306123,1.1372549019607843,3.356896551724138,2019-02-01
1,201903,185.20000000000002,56,43,47,1.0930232558139534,1.1914893617021276,3.3071428571428574,2019-03-01
1,201904,177.4,52,39,40,1.0256410256410255,1.3,3.411538461538462,2019-04-01
1,201905,207.1,62,43,48,1.1162790697674418,1.2916666666666667,3.3403225806451613,2019-05-01
1,201906,163.6,50,39,39,1.0,1.2820512820512822,3.272,2019-06-01
2,201807,140.5,43,36,38,1.0555555555555556,1.131578947368421,3.2674418604651163,2018-07-01
2,201808,180.9,50,35,39,1.1142857142857143,1.2820512820512822,3.6180000000000003,2018-08-01
2,201809,133.9,36,32,33,1.03125,1.0909090909090908,3.7194444444444446,2018-09-01
2,201810,160.1,43,39,41,1.0512820512820513,1.048780487804878,3.723255813953488,2018-10-01
2,201811,143.3,38,33,34,1.0303030303030303,1.1176470588235294,3.771052631578948,2018-11-01
2,201812,129.2,37,32,34,1.0625,1.088235294117647,3.4918918918918918,2018-12-01
2,201901,158.7,47,41,43,1.048780487804878,1.0930232558139534,3.3765957446808508,2019-01-01
2,201902,136.8,36,28,31,1.1071428571428572,1.1612903225806452,3.8000000000000003,2019-02-01
2,201903,174.0,46,40,41,1.025,1.1219512195121952,3.782608695652174,2019-03-01
2,201904,173.4,50,43,45,1.0465116279069768,1.1111111111111112,3.468,2019-04-01
2,201905,179.8,53,45,47,1.0444444444444445,1.127659574468085,3.3924528301886796,2019-05-01
2,201906,143.4,40,36,38,1.0555555555555556,1.0526315789473684,3.585,2019-06-01
3,201807,1164.9,263,108,134,1.2407407407407407,1.962686567164179,4.429277566539924,2018-07-01
3,201808,998.15,237,106,121,1.1415094339622642,1.9586776859504131,4.211603375527426,2018-08-01
3,201809,1011.3000000000001,230,102,118,1.1568627450980393,1.9491525423728813,4.39695652173913,2018-09-01
3,201810,1017.5,231,103,117,1.1359223300970873,1.9743589743589745,4.404761904761905,2018-10-01
3,201811,936.6,213,95,111,1.168421052631579,1.9189189189189189,4.397183098591549,2018-11-01
3,201812,1075.7,246,107,124,1.158878504672897,1.9838709677419355,4.372764227642277,2018-12-01
3,201901,980.3,222,97,112,1.1546391752577319,1.9821428571428572,4.415765765765766,2019-01-01
