YEARMONTH,Ventas,Unidades,Clientes,Transacciones,Fecha,TicketPromedio
201807,154514.5,40310,17701,20906,2018-07-01,7.390916483306228
201808,147422.05,38481,17641,20739,2018-08-01,7.108445440956651
201809,150058.9,39001,17216,20165,2018-09-01,7.44155219439623
201810,153454.1,39911,17536,20657,2018-10-01,7.428673089025512
201811,149609.5,39045,17248,20228,2018-11-01,7.396158789796322
201812,156461.6,40778,17928,21090,2018-12-01,7.418757705073495
201901,151593.8,39519,17403,20474,2019-01-01,7.404210217837257
201902,140480.0,36541,16241,18878,2019-02-01,7.441466257018752
201903,155772.8,40534,17885,21001,2019-03-01,7.417399171468025
201904,149374.2,38980,17115,20164,2019-04-01,7.407964689545726
201905,146300.35,38257,17534,20695,2019-05-01,7.069357332689056
201906,150135.9,39042,17280,20260,2019-06-01,7.410459032576505
