LIFESTAGE,PREMIUM_CUSTOMER,Ventas,Unidades,Clientes,Transacciones,TicketPromedio,Frecuencia,PrecioPromedio,ParticipacionVentas
MIDAGE SINGLES/COUPLES,Budget,33345.7,8883,1474,4661,7.15419437888865,3.162143826322931,3.753878194303726,1.8472253451834686
MIDAGE SINGLES/COUPLES,Mainstream,84734.25,21213,3298,11034,7.679377379010332,3.345664038811401,3.9944491585348607,4.693956168414888
MIDAGE SINGLES/COUPLES,Premium,54443.85,14400,2369,7564,7.1977591221575885,3.1929084001688475,3.7808229166666667,3.015982858640454
NEW FAMILIES,Budget,20607.45,5241,1087,2813,7.325790970494134,2.5878564857405704,3.9319690898683457,1.141574594013653
NEW FAMILIES,Mainstream,15979.7,4060,830,2181,7.326776707932142,2.627710843373494,3.9358866995073893,0.8852147907654743
NEW FAMILIES,Premium,10760.8,2769,575,1483,7.256102494942684,2.5791304347826087,3.8861682918020946,0.5961075189439798
OLDER FAMILIES,Budget,156863.75,41853,4611,21322,7.356896632586062,4.624159618304056,3.747969082264115,8.689656979476315
OLDER FAMILIES,Mainstream,96413.55,25804,2788,13131,7.342437742746173,4.7098278335724535,3.7363800186017673,5.34094510473955
OLDER FAMILIES,Premium,75242.6,20239,2231,10302,7.303688604154534,4.617660242043926,3.71770344384604,4.168154747313797
OLDER SINGLES/COUPLES,Budget,127833.6,32883,4849,17078,7.485279306710388,3.5219632914002887,3.8875285101724297,7.081496741290345
OLDER SINGLES/COUPLES,Mainstream,124648.5,32607,4858,16958,7.350424578370091,3.4907369287772747,3.8227527831447237,6.905054278035896
OLDER SINGLES/COUPLES,Premium,123537.55,31695,4682,16472,7.499851262748908,3.518154634771465,3.8976983751380345,6.8435118603559095
RETIREES,Budget,105916.3,26932,4385,14147,7.48683819891143,3.2262257696693273,3.932730580721818,5.867361423753462
RETIREES,Mainstream,145168.95,37677,6358,19878,7.30299577422276,3.1264548600188737,3.85298590652122,8.041809401922038
RETIREES,Premium,91296.65,23266,3812,12180,7.495619868637109,3.1951731374606505,3.9240372216968966,5.057488246171
YOUNG FAMILIES,Budget,129717.95,34482,3953,17629,7.358213738725962,4.459650898052113,3.761903311872861,7.18588258651766
YOUNG FAMILIES,Mainstream,86338.25,23194,2685,11860,7.279784991568297,4.417132216014897,3.7224389928429766,4.782811686627859
YOUNG FAMILIES,Premium,78571.7,20901,2398,10701,7.342463321184936,4.462468723936614,3.759231615712167,4.352574264572402
YOUNG SINGLES/COUPLES,Budget,57122.1,15500,3647,8547,6.683292383292383,2.343570057581574,3.6852967741935485,3.164347753686521
YOUNG SINGLES/COUPLES,Mainstream,147582.2,36225,7917,19482,7.575310543065394,2.4607805987116333,4.074042788129745,8.175494301752122
YOUNG SINGLES/COUPLES,Premium,39052.3,10575,2480,5834,6.693914981145013,2.35241935483871,3.692888888888889,2.163349347823209
